path,label,sample_id,top1_sim,top10_test_frac,top10_same_label_frac,conflict_score,sample_weight
mytest/rock/rock_Coal_364_3efba927.png,0,mytest/rock/rock_Coal_364_3efba927.png,0.86412513256073,0.5,1.0,0.0,0.625
mytest/rock/rock_Amphibolite_Amphibolite1_9e77ab2c.png,0,mytest/rock/rock_Amphibolite_Amphibolite1_9e77ab2c.png,0.8981193900108337,0.4,1.0,0.0,0.55
mytest/rock/rock_Amphibolite_Amphibolite2_7b6edf0c.png,0,mytest/rock/rock_Amphibolite_Amphibolite2_7b6edf0c.png,0.8965670466423035,0.4,1.0,0.0,0.55
mytest/meteorite/meteorite_380_1179_186_c2c00e7c.png,1,mytest/meteorite/meteorite_380_1179_186_c2c00e7c.png,0.8515689373016357,0.4,1.0,0.0,0.55
mytest/rock/rock_Quartzite_images_320__91652350.png,0,mytest/rock/rock_Quartzite_images_320__91652350.png,0.8512413501739502,0.4,0.8333333333333334,1.3354749480883277,0.5
mytest/rock/rock_Obsidian_Obsidian14_b8292b6a.png,0,mytest/rock/rock_Obsidian_Obsidian14_b8292b6a.png,0.8164827823638916,0.4,0.8333333333333334,1.2144277493158977,0.5
mytest/rock/rock_Blueschist_Blueschist2_bb6a5201.png,0,mytest/rock/rock_Blueschist_Blueschist2_bb6a5201.png,0.7616652250289917,0.4,0.8333333333333334,1.1975315213203428,0.5
mytest/rock/rock_Limestone_173_4d9bf513.png,0,mytest/rock/rock_Limestone_173_4d9bf513.png,0.9864664077758788,0.3,1.0,0.0,0.475
mytest/rock/rock_Quartz_diorite_Quartz_diorite18_9255dbd7.png,0,mytest/rock/rock_Quartz_diorite_Quartz_diorite18_9255dbd7.png,0.9483016729354858,0.3,1.0,0.0,0.475
mytest/rock/rock_Amphibolite_Amphibolite0_c473a745.png,0,mytest/rock/rock_Amphibolite_Amphibolite0_c473a745.png,0.925072431564331,0.3,1.0,0.0,0.475
mytest/rock/rock_Amphibolite_Amphibolite22_d6822c51.png,0,mytest/rock/rock_Amphibolite_Amphibolite22_d6822c51.png,0.9228004217147828,0.3,1.0,0.0,0.475
mytest/rock/rock_Granulite_Granulite5_4301e844.png,0,mytest/rock/rock_Granulite_Granulite5_4301e844.png,0.9195541143417358,0.3,1.0,0.0,0.475
mytest/rock/rock_Amphibolite_Amphibolite19_86e8c957.png,0,mytest/rock/rock_Amphibolite_Amphibolite19_86e8c957.png,0.9151434302330016,0.3,1.0,0.0,0.475
mytest/rock/rock_Gabbro_Gabbro20_998bf344.png,0,mytest/rock/rock_Gabbro_Gabbro20_998bf344.png,0.9087783694267272,0.3,1.0,0.0,0.475
mytest/rock/rock_Serpentinite_Serpentinite33_3ee4c3f2.png,0,mytest/rock/rock_Serpentinite_Serpentinite33_3ee4c3f2.png,0.9014290571212769,0.3,1.0,0.0,0.475
mytest/rock/rock_Gneiss_Gneiss44_973a2431.png,0,mytest/rock/rock_Gneiss_Gneiss44_973a2431.png,0.8978908061981201,0.3,1.0,0.0,0.475
mytest/rock/rock_Carbonatite_Carbonatite26_49c2e47e.png,0,mytest/rock/rock_Carbonatite_Carbonatite26_49c2e47e.png,0.8966622948646545,0.3,1.0,0.0,0.475
mytest/rock/rock_Serpentinite_Serpentinite14_2d7a3429.png,0,mytest/rock/rock_Serpentinite_Serpentinite14_2d7a3429.png,0.8943166732788086,0.3,1.0,0.0,0.475
mytest/rock/rock_Tephrite_Tephrite19_9b33c738.png,0,mytest/rock/rock_Tephrite_Tephrite19_9b33c738.png,0.8911625146865845,0.3,1.0,0.0,0.475
mytest/meteorite/meteorite_capot_rey_gipo_9d29a6a4.png,1,mytest/meteorite/meteorite_capot_rey_gipo_9d29a6a4.png,0.8907594084739685,0.3,1.0,0.0,0.475
mytest/rock/rock_Quartz_monzonite_Quartz_monzonite39_0bb4fe4b.png,0,mytest/rock/rock_Quartz_monzonite_Quartz_monzonite39_0bb4fe4b.png,0.8874919414520264,0.3,1.0,0.0,0.475
mytest/meteorite/meteorite_baszkowka_polandmet_9274ee8f.png,1,mytest/meteorite/meteorite_baszkowka_polandmet_9274ee8f.png,0.8873379230499268,0.3,1.0,0.0,0.475
mytest/rock/rock_Amphibolite_Amphibolite34_ab163b5e.png,0,mytest/rock/rock_Amphibolite_Amphibolite34_ab163b5e.png,0.8673652410507202,0.3,1.0,0.0,0.475
mytest/rock/rock_Granulite_Granulite18_7fdda66f.png,0,mytest/rock/rock_Granulite_Granulite18_7fdda66f.png,0.866243302822113,0.3,1.0,0.0,0.475
mytest/rock/rock_Migmatite_Migmatite2_15540a09.png,0,mytest/rock/rock_Migmatite_Migmatite2_15540a09.png,0.8352087140083313,0.3,1.0,0.0,0.475
mytest/rock/rock_Quartzite_Quartzite3_05efef89.png,0,mytest/rock/rock_Quartzite_Quartzite3_05efef89.png,0.8193318843841553,0.3,1.0,0.0,0.475
mytest/rock/rock_Migmatite_Migmatite37_c0498242.png,0,mytest/rock/rock_Migmatite_Migmatite37_c0498242.png,0.7846733331680298,0.3,1.0,0.0,0.475
mytest/rock/rock_Migmatite_Migmatite29_59882c8f.png,0,mytest/rock/rock_Migmatite_Migmatite29_59882c8f.png,0.7738137245178223,0.3,1.0,0.0,0.475
mytest/rock/rock_Coal_189_aee4a985.png,0,mytest/rock/rock_Coal_189_aee4a985.png,0.7675180435180664,0.3,1.0,0.0,0.475
mytest/rock/rock_Migmatite_Migmatite26_60ee465e.png,0,mytest/rock/rock_Migmatite_Migmatite26_60ee465e.png,0.7631887793540955,0.3,1.0,0.0,0.475
mytest/rock/rock_Limestone_261_1367213e.png,0,mytest/rock/rock_Limestone_261_1367213e.png,0.9862639904022216,0.3,0.8571428571428571,1.2930222920009071,0.4429
