sample_id,image_id,path,query_label,top1_sim,top1_source,top1_label,top3_same_label_frac,top5_same_label_frac,top5_test_frac,top10_same_label_frac,top10_test_frac,top10_source_train,top10_source_myval,top10_source_test,top10_source_pos,top10_source_neg,conflict_score
mytest/rock/rock_Coal_364_3efba927.png,rock_Coal_364_3efba927.png,mytest/rock/rock_Coal_364_3efba927.png,0,0.86412513256073,test,-1,1.0,1.0,0.4,1.0,0.5,5,0,5,0,5,0.0
mytest/rock/rock_Amphibolite_Amphibolite1_9e77ab2c.png,rock_Amphibolite_Amphibolite1_9e77ab2c.png,mytest/rock/rock_Amphibolite_Amphibolite1_9e77ab2c.png,0,0.8981193900108337,train,0,1.0,1.0,0.2,1.0,0.4,6,0,4,0,6,0.0
mytest/rock/rock_Amphibolite_Amphibolite2_7b6edf0c.png,rock_Amphibolite_Amphibolite2_7b6edf0c.png,mytest/rock/rock_Amphibolite_Amphibolite2_7b6edf0c.png,0,0.8965670466423035,test,-1,1.0,1.0,0.6,1.0,0.4,5,1,4,0,6,0.0
mytest/meteorite/meteorite_380_1179_186_c2c00e7c.png,meteorite_380_1179_186_c2c00e7c.png,mytest/meteorite/meteorite_380_1179_186_c2c00e7c.png,1,0.8515689373016357,test,-1,1.0,1.0,0.8,1.0,0.4,5,1,4,6,0,0.0
mytest/rock/rock_Quartzite_images_320__91652350.png,rock_Quartzite_images_320__91652350.png,mytest/rock/rock_Quartzite_images_320__91652350.png,0,0.8512413501739502,train,0,1.0,0.8,0.2,0.8333333333333334,0.4,5,1,4,1,5,1.3354749480883277
mytest/rock/rock_Obsidian_Obsidian14_b8292b6a.png,rock_Obsidian_Obsidian14_b8292b6a.png,mytest/rock/rock_Obsidian_Obsidian14_b8292b6a.png,0,0.8164827823638916,train,0,1.0,1.0,0.2,0.8333333333333334,0.4,5,1,4,1,5,1.2144277493158977
mytest/rock/rock_Blueschist_Blueschist2_bb6a5201.png,rock_Blueschist_Blueschist2_bb6a5201.png,mytest/rock/rock_Blueschist_Blueschist2_bb6a5201.png,0,0.7616652250289917,test,-1,0.6666666666666666,0.8,0.4,0.8333333333333334,0.4,6,0,4,1,5,1.1975315213203428
mytest/rock/rock_Limestone_173_4d9bf513.png,rock_Limestone_173_4d9bf513.png,mytest/rock/rock_Limestone_173_4d9bf513.png,0,0.9864664077758788,train,0,1.0,1.0,0.0,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Quartz_diorite_Quartz_diorite18_9255dbd7.png,rock_Quartz_diorite_Quartz_diorite18_9255dbd7.png,mytest/rock/rock_Quartz_diorite_Quartz_diorite18_9255dbd7.png,0,0.9483016729354858,test,-1,1.0,1.0,0.6,1.0,0.3,6,1,3,0,7,0.0
mytest/rock/rock_Amphibolite_Amphibolite0_c473a745.png,rock_Amphibolite_Amphibolite0_c473a745.png,mytest/rock/rock_Amphibolite_Amphibolite0_c473a745.png,0,0.925072431564331,train,0,1.0,1.0,0.2,1.0,0.3,6,1,3,0,7,0.0
mytest/rock/rock_Amphibolite_Amphibolite22_d6822c51.png,rock_Amphibolite_Amphibolite22_d6822c51.png,mytest/rock/rock_Amphibolite_Amphibolite22_d6822c51.png,0,0.9228004217147828,test,-1,1.0,1.0,0.2,1.0,0.3,6,1,3,0,7,0.0
mytest/rock/rock_Granulite_Granulite5_4301e844.png,rock_Granulite_Granulite5_4301e844.png,mytest/rock/rock_Granulite_Granulite5_4301e844.png,0,0.9195541143417358,train,0,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Amphibolite_Amphibolite19_86e8c957.png,rock_Amphibolite_Amphibolite19_86e8c957.png,mytest/rock/rock_Amphibolite_Amphibolite19_86e8c957.png,0,0.9151434302330016,test,-1,1.0,1.0,0.6,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Gabbro_Gabbro20_998bf344.png,rock_Gabbro_Gabbro20_998bf344.png,mytest/rock/rock_Gabbro_Gabbro20_998bf344.png,0,0.9087783694267272,train,0,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Serpentinite_Serpentinite33_3ee4c3f2.png,rock_Serpentinite_Serpentinite33_3ee4c3f2.png,mytest/rock/rock_Serpentinite_Serpentinite33_3ee4c3f2.png,0,0.9014290571212769,train,0,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Gneiss_Gneiss44_973a2431.png,rock_Gneiss_Gneiss44_973a2431.png,mytest/rock/rock_Gneiss_Gneiss44_973a2431.png,0,0.8978908061981201,test,-1,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Carbonatite_Carbonatite26_49c2e47e.png,rock_Carbonatite_Carbonatite26_49c2e47e.png,mytest/rock/rock_Carbonatite_Carbonatite26_49c2e47e.png,0,0.8966622948646545,test,-1,1.0,1.0,0.2,1.0,0.3,6,1,3,0,7,0.0
mytest/rock/rock_Serpentinite_Serpentinite14_2d7a3429.png,rock_Serpentinite_Serpentinite14_2d7a3429.png,mytest/rock/rock_Serpentinite_Serpentinite14_2d7a3429.png,0,0.8943166732788086,test,-1,1.0,1.0,0.6,1.0,0.3,5,2,3,0,7,0.0
mytest/rock/rock_Tephrite_Tephrite19_9b33c738.png,rock_Tephrite_Tephrite19_9b33c738.png,mytest/rock/rock_Tephrite_Tephrite19_9b33c738.png,0,0.8911625146865845,test,-1,1.0,1.0,0.4,1.0,0.3,6,1,3,0,7,0.0
mytest/meteorite/meteorite_capot_rey_gipo_9d29a6a4.png,meteorite_capot_rey_gipo_9d29a6a4.png,mytest/meteorite/meteorite_capot_rey_gipo_9d29a6a4.png,1,0.8907594084739685,train,1,1.0,1.0,0.4,1.0,0.3,7,0,3,7,0,0.0
mytest/rock/rock_Quartz_monzonite_Quartz_monzonite39_0bb4fe4b.png,rock_Quartz_monzonite_Quartz_monzonite39_0bb4fe4b.png,mytest/rock/rock_Quartz_monzonite_Quartz_monzonite39_0bb4fe4b.png,0,0.8874919414520264,train,0,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/meteorite/meteorite_baszkowka_polandmet_9274ee8f.png,meteorite_baszkowka_polandmet_9274ee8f.png,mytest/meteorite/meteorite_baszkowka_polandmet_9274ee8f.png,1,0.8873379230499268,train,1,1.0,1.0,0.4,1.0,0.3,7,0,3,7,0,0.0
mytest/rock/rock_Amphibolite_Amphibolite34_ab163b5e.png,rock_Amphibolite_Amphibolite34_ab163b5e.png,mytest/rock/rock_Amphibolite_Amphibolite34_ab163b5e.png,0,0.8673652410507202,test,-1,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Granulite_Granulite18_7fdda66f.png,rock_Granulite_Granulite18_7fdda66f.png,mytest/rock/rock_Granulite_Granulite18_7fdda66f.png,0,0.866243302822113,train,0,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Migmatite_Migmatite2_15540a09.png,rock_Migmatite_Migmatite2_15540a09.png,mytest/rock/rock_Migmatite_Migmatite2_15540a09.png,0,0.8352087140083313,test,-1,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Quartzite_Quartzite3_05efef89.png,rock_Quartzite_Quartzite3_05efef89.png,mytest/rock/rock_Quartzite_Quartzite3_05efef89.png,0,0.8193318843841553,test,-1,1.0,1.0,0.6,1.0,0.3,5,2,3,0,7,0.0
mytest/rock/rock_Migmatite_Migmatite37_c0498242.png,rock_Migmatite_Migmatite37_c0498242.png,mytest/rock/rock_Migmatite_Migmatite37_c0498242.png,0,0.7846733331680298,test,-1,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Migmatite_Migmatite29_59882c8f.png,rock_Migmatite_Migmatite29_59882c8f.png,mytest/rock/rock_Migmatite_Migmatite29_59882c8f.png,0,0.7738137245178223,train,0,1.0,1.0,0.2,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Coal_189_aee4a985.png,rock_Coal_189_aee4a985.png,mytest/rock/rock_Coal_189_aee4a985.png,0,0.7675180435180664,train,0,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Migmatite_Migmatite26_60ee465e.png,rock_Migmatite_Migmatite26_60ee465e.png,mytest/rock/rock_Migmatite_Migmatite26_60ee465e.png,0,0.7631887793540955,test,-1,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Coal_170_ace92301.png,rock_Coal_170_ace92301.png,mytest/rock/rock_Coal_170_ace92301.png,0,0.7422515153884888,train,0,1.0,1.0,0.4,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Migmatite_Migmatite4_78821aac.png,rock_Migmatite_Migmatite4_78821aac.png,mytest/rock/rock_Migmatite_Migmatite4_78821aac.png,0,0.7209186553955078,test,-1,1.0,1.0,0.6,1.0,0.3,7,0,3,0,7,0.0
mytest/rock/rock_Limestone_261_1367213e.png,rock_Limestone_261_1367213e.png,mytest/rock/rock_Limestone_261_1367213e.png,0,0.9862639904022216,train,0,1.0,0.8,0.2,0.8571428571428571,0.3,6,1,3,1,6,1.2930222920009071
mytest/rock/rock_Pyroxenite_Pyroxenite10_44515819.png,rock_Pyroxenite_Pyroxenite10_44515819.png,mytest/rock/rock_Pyroxenite_Pyroxenite10_44515819.png,0,0.9329265356063844,test,-1,1.0,1.0,0.2,0.8571428571428571,0.3,7,0,3,1,6,1.29749527999333
mytest/rock/rock_Serpentinite_Serpentinite29_914ea303.png,rock_Serpentinite_Serpentinite29_914ea303.png,mytest/rock/rock_Serpentinite_Serpentinite29_914ea303.png,0,0.92928147315979,train,1,0.6666666666666666,0.8,0.6,0.8571428571428571,0.3,7,0,3,1,6,1.3115546533039644
mytest/rock/rock_Granite_92_0cfaa11a.png,rock_Granite_92_0cfaa11a.png,mytest/rock/rock_Granite_92_0cfaa11a.png,0,0.9233864545822144,train,0,1.0,0.8,0.2,0.8571428571428571,0.3,7,0,3,1,6,1.3015729188919072
mytest/rock/rock_Quartz_monzonite_Quartz_monzonite4_7a6cf4ad.png,rock_Quartz_monzonite_Quartz_monzonite4_7a6cf4ad.png,mytest/rock/rock_Quartz_monzonite_Quartz_monzonite4_7a6cf4ad.png,0,0.9156628847122192,test,-1,0.6666666666666666,0.8,0.4,0.8571428571428571,0.3,6,1,3,1,6,1.2275446312768123
mytest/rock/rock_Quartz_diorite_Quartz_diorite16_809e92cd.png,rock_Quartz_diorite_Quartz_diorite16_809e92cd.png,mytest/rock/rock_Quartz_diorite_Quartz_diorite16_809e92cd.png,0,0.9154167175292968,train,0,1.0,0.8,0.4,0.8571428571428571,0.3,6,1,3,1,6,1.2680437735148842
mytest/rock/rock_Serpentinite_Serpentinite27_0fed2180.png,rock_Serpentinite_Serpentinite27_0fed2180.png,mytest/rock/rock_Serpentinite_Serpentinite27_0fed2180.png,0,0.9052106142044068,test,-1,1.0,0.8,0.4,0.8571428571428571,0.3,7,0,3,1,6,1.2798100709915166
