query_id,rank,cosine_sim,ref_sample_id,ref_source,ref_image_id,ref_label,ref_path
000006.jpg,1,0.9647985696792603,train/001433.jpg,train,001433.jpg,1,preprocess/bbox_crop/train/001433_mask_000.png
000006.jpg,2,0.964556097984314,train/001887.jpg,train,001887.jpg,0,preprocess/bbox_crop/train/001887_mask_000.png
000006.jpg,3,0.9615498781204224,train/003974.jpg,train,003974.jpg,1,preprocess/bbox_crop/train/003974_mask_000.png
000006.jpg,4,0.9612425565719604,train/003863.jpg,train,003863.jpg,1,preprocess/bbox_crop/train/003863_mask_000.png
000006.jpg,5,0.957158088684082,train/004129.png,train,004129.png,0,preprocess/bbox_crop/train/004129_mask_000.png
000006.jpg,6,0.9566196203231812,train/001017.jpg,train,001017.jpg,1,preprocess/bbox_crop/train/001017_mask_000.png
000006.jpg,7,0.9561454653739929,train/003493.jpg,train,003493.jpg,1,preprocess/bbox_crop/train/003493_mask_000.png
000006.jpg,8,0.9557557702064514,train/001539.jpg,train,001539.jpg,0,preprocess/bbox_crop/train/001539_mask_000.png
000006.jpg,9,0.9545308351516724,train/002353.jpg,train,002353.jpg,1,preprocess/bbox_crop/train/002353_mask_000.png
000006.jpg,10,0.9530607461929321,train/003767.jpg,train,003767.jpg,0,preprocess/bbox_crop/train/003767_mask_000.png
000006.jpg,11,0.9525411128997803,train/003622.jpg,train,003622.jpg,0,preprocess/bbox_crop/train/003622_mask_000.png
000006.jpg,12,0.952457070350647,train/002778.jpg,train,002778.jpg,0,preprocess/bbox_crop/train/002778_mask_000.png
000006.jpg,13,0.95244300365448,train/001271.jpg,train,001271.jpg,1,preprocess/bbox_crop/train/001271_mask_000.png
000006.jpg,14,0.9506076574325562,train/002696.jpg,train,002696.jpg,1,preprocess/bbox_crop/train/002696_mask_000.png
000006.jpg,15,0.950340747833252,train/003471.jpg,train,003471.jpg,1,preprocess/bbox_crop/train/003471_mask_000.png
000006.jpg,16,0.9501997232437134,train/004967.jpg,train,004967.jpg,1,preprocess/bbox_crop/train/004967_mask_000.png
000006.jpg,17,0.9492508769035339,train/002333.jpg,train,002333.jpg,1,preprocess/bbox_crop/train/002333_mask_000.png
000006.jpg,18,0.9491633176803589,train/001853.jpg,train,001853.jpg,1,preprocess/bbox_crop/train/001853_mask_000.png
000006.jpg,19,0.9487908482551575,train/000875.jpg,train,000875.jpg,0,preprocess/bbox_crop/train/000875_mask_000.png
000006.jpg,20,0.9487074613571167,train/004231.jpg,train,004231.jpg,1,preprocess/bbox_crop/train/004231_mask_000.png
000016.jpg,1,0.9756913185119629,train/002275.jpg,train,002275.jpg,0,preprocess/bbox_crop/train/002275_mask_000.png
000016.jpg,2,0.9727339744567871,train/005086.jpg,train,005086.jpg,0,preprocess/bbox_crop/train/005086_mask_000.png
000016.jpg,3,0.9660359621047974,train/003753.jpg,train,003753.jpg,0,preprocess/bbox_crop/train/003753_mask_000.png
000016.jpg,4,0.9658841490745544,myval/img_717c3366d0f8.jpg,myval,img_717c3366d0f8.jpg,0,preprocess/bbox_crop/myval/img_717c3366d0f8_mask_000.png
000016.jpg,5,0.9648016095161438,train/000420.jpg,train,000420.jpg,0,preprocess/bbox_crop/train/000420_mask_000.png
000016.jpg,6,0.9643809199333191,train/004923.jpg,train,004923.jpg,1,preprocess/bbox_crop/train/004923_mask_000.png
000016.jpg,7,0.9639301300048828,train/004660.jpg,train,004660.jpg,0,preprocess/bbox_crop/train/004660_mask_000.png
000016.jpg,8,0.9634122848510742,train/001728.jpg,train,001728.jpg,0,preprocess/bbox_crop/train/001728_mask_000.png
000016.jpg,9,0.9627605676651001,train/002410.jpg,train,002410.jpg,0,preprocess/bbox_crop/train/002410_mask_000.png
000016.jpg,10,0.9623057842254639,train/004539.jpg,train,004539.jpg,0,preprocess/bbox_crop/train/004539_mask_000.png
000016.jpg,11,0.9623023867607117,train/004864.jpg,train,004864.jpg,1,preprocess/bbox_crop/train/004864_mask_000.png
000016.jpg,12,0.9615263938903809,train/004232.jpg,train,004232.jpg,0,preprocess/bbox_crop/train/004232_mask_000.png
000016.jpg,13,0.960252583026886,train/003425.jpg,train,003425.jpg,0,preprocess/bbox_crop/train/003425_mask_000.png
000016.jpg,14,0.9601691961288452,train/004394.jpg,train,004394.jpg,0,preprocess/bbox_crop/train/004394_mask_000.png
000016.jpg,15,0.9601415395736694,train/004261.jpg,train,004261.jpg,0,preprocess/bbox_crop/train/004261_mask_000.png
000016.jpg,16,0.959306001663208,train/002217.jpg,train,002217.jpg,0,preprocess/bbox_crop/train/002217_mask_000.png
000016.jpg,17,0.9592069387435913,train/001568.jpg,train,001568.jpg,0,preprocess/bbox_crop/train/001568_mask_000.png
000016.jpg,18,0.9590561389923096,train/002903.jpg,train,002903.jpg,0,preprocess/bbox_crop/train/002903_mask_000.png
000016.jpg,19,0.9586758613586426,train/005092.jpg,train,005092.jpg,0,preprocess/bbox_crop/train/005092_mask_000.png
000016.jpg,20,0.9583722949028015,train/004911.jpg,train,004911.jpg,0,preprocess/bbox_crop/train/004911_mask_000.png
000017.jpg,1,0.9589622020721436,train/004048.jpg,train,004048.jpg,1,preprocess/bbox_crop/train/004048_mask_000.png
000017.jpg,2,0.9582017660140991,train/002696.jpg,train,002696.jpg,1,preprocess/bbox_crop/train/002696_mask_000.png
000017.jpg,3,0.9556147456169128,train/001539.jpg,train,001539.jpg,0,preprocess/bbox_crop/train/001539_mask_000.png
000017.jpg,4,0.954750120639801,train/002778.jpg,train,002778.jpg,0,preprocess/bbox_crop/train/002778_mask_000.png
000017.jpg,5,0.9542290568351746,train/002557.jpg,train,002557.jpg,0,preprocess/bbox_crop/train/002557_mask_000.png
000017.jpg,6,0.9538978338241577,train/002398.jpg,train,002398.jpg,1,preprocess/bbox_crop/train/002398_mask_000.png
000017.jpg,7,0.9535026550292969,train/002993.jpg,train,002993.jpg,1,preprocess/bbox_crop/train/002993_mask_000.png
000017.jpg,8,0.9523820281028748,train/003485.jpg,train,003485.jpg,1,preprocess/bbox_crop/train/003485_mask_000.png
000017.jpg,9,0.9521257281303406,train/002353.jpg,train,002353.jpg,1,preprocess/bbox_crop/train/002353_mask_000.png
000017.jpg,10,0.9516986012458801,myval/img_1b815e77e9b6.jpg,myval,img_1b815e77e9b6.jpg,1,preprocess/bbox_crop/myval/img_1b815e77e9b6_mask_000.png
000017.jpg,11,0.9509658813476562,train/003912.jpg,train,003912.jpg,1,preprocess/bbox_crop/train/003912_mask_000.png
000017.jpg,12,0.9504478573799133,train/003998.jpg,train,003998.jpg,1,preprocess/bbox_crop/train/003998_mask_000.png
000017.jpg,13,0.9503716230392456,train/004994.jpg,train,004994.jpg,1,preprocess/bbox_crop/train/004994_mask_000.png
000017.jpg,14,0.9503381848335266,train/000456.jpg,train,000456.jpg,1,preprocess/bbox_crop/train/000456_mask_000.png
000017.jpg,15,0.9501534700393677,train/003767.jpg,train,003767.jpg,0,preprocess/bbox_crop/train/003767_mask_000.png
000017.jpg,16,0.9501328468322754,train/003214.jpg,train,003214.jpg,1,preprocess/bbox_crop/train/003214_mask_000.png
000017.jpg,17,0.9496355056762695,train/000864.jpg,train,000864.jpg,0,preprocess/bbox_crop/train/000864_mask_000.png
000017.jpg,18,0.9496299624443054,train/003040.jpg,train,003040.jpg,0,preprocess/bbox_crop/train/003040_mask_000.png
000017.jpg,19,0.9490598440170288,train/001694.jpg,train,001694.jpg,1,preprocess/bbox_crop/train/001694_mask_000.png
000017.jpg,20,0.9489911794662476,train/000826.jpg,train,000826.jpg,1,preprocess/bbox_crop/train/000826_mask_000.png
000020.jpg,1,0.9630596041679382,train/003753.jpg,train,003753.jpg,0,preprocess/bbox_crop/train/003753_mask_000.png
000020.jpg,2,0.9609829187393188,train/002321.jpg,train,002321.jpg,0,preprocess/bbox_crop/train/002321_mask_000.png
