id,vlm_top1_sim,vlm_top1_source,vlm_top1_label,vlm_top5_pos_frac,vlm_top10_pos_frac,vlm_top20_pos_frac,vlm_mean_top5_sim,vlm_mean_top10_sim,current_label,image_number,soup_prob_pos,soup_prob_pos_corrected,soup_raw_label,fp_risk_score,fp_risk_rank,top1_source,top1_label,top1_sim,top5_pos_frac,top10_pos_frac,train_top10_pos_frac,myval_top10_pos_frac,mean_top5_sim,mean_top10_sim,v4_cluster,cluster_test_fraction,test_like_score,test_like_topk_mean,test_like_centroid_cos,dinomlp_full_label,dinomlp_v2_label,dinomlp_v3_label,mytest_augment_label,mytest_strict_label,mytest_split_label,ensemble42_123_label,splitval_augment_label,trsearch_bbox02_label,alt_model_pos_votes,alt_model_count,alt_model_pos_frac,alt_model_neg_votes,weak_label,weak_label_note,verifier_fp_score,verifier_rank,vlm_disagrees_with_dino
000131.jpg,0.9082367420196533,train,0,0.0,0.0,0.15,0.9032584428787231,0.9009506106376648,1,131,0.62158203125,0.62158203125,1,0.92568359375,1.0,train,0.0,0.6505702137947083,0.0,0.0,0.0,,0.6143816709518433,0.5934765934944153,11.0,0.0301507537688442,0.2521503950183715,0.50215816,-0.12026702,0,-1,-1,0,0,1,-1,0,0,1.0,6,0.1666666666666666,5.0,one_of_three_fp,one_of_108_124_131_is_fp,0.9330061848958334,1,False
000108.jpg,0.948398232460022,train,0,0.0,0.0,0.05,0.9459260702133179,0.9444748163223267,1,108,0.70458984375,0.70458984375,1,0.90908203125,2.0,myval,0.0,0.931829571723938,0.0,0.0,0.0,0.0,0.6873914003372192,0.6336270570755005,12.0,0.0415512465373961,0.4033896534231561,0.574166,0.31715235,0,-1,-1,0,0,1,-1,1,0,2.0,6,0.3333333333333333,4.0,one_of_three_fp,one_of_108_124_131_is_fp,0.8939274088541667,2,False
000177.jpg,0.9593827724456787,train,0,0.0,0.1,0.2,0.9539957046508789,0.9512873888015747,1,177,0.81640625,0.81640625,1,0.8867187500000001,3.0,myval,0.0,0.7293969392776489,0.0,0.0,0.0,0.0,0.6867064833641052,0.6622194051742554,12.0,0.0415512465373961,0.4239804355886834,0.5949615,0.35376534,0,-1,-1,0,1,0,-1,0,0,1.0,6,0.1666666666666666,5.0,inferred_fp,inferred_fp_from_pairwise_lb,0.8804036458333333,3,False
000088.jpg,0.9646578431129456,myval,0,0.2,0.2,0.25,0.9616036415100098,0.9593158960342407,1,88,0.7841796875,0.7841796875,1,0.8619140625000001,5.0,train,0.0,0.6851330399513245,0.0,0.1,0.125,0.0,0.6532964110374451,0.6269127726554871,12.0,0.0415512465373961,0.4517706839826959,0.5918112,0.47185707,0,-1,-1,0,0,0,-1,0,0,0.0,6,0.0,6.0,inferred_fp,inferred_fp_from_pairwise_lb,0.8698339843750001,4,False
000124.jpg,0.9385647177696228,train,0,0.4,0.5,0.45,0.9338511228561401,0.9314112663269043,1,124,0.818359375,0.818359375,1,0.8863281250000001,4.0,train,0.0,0.8533634543418884,0.0,0.0,0.0,0.0,0.8381446599960327,0.8134910464286804,1.0,0.0404040404040404,0.4600552000180639,0.6430582,0.39316952,0,-1,-1,0,1,0,-1,0,1,2.0,6,0.3333333333333333,4.0,one_of_three_fp,one_of_108_124_131_is_fp,0.8632096354166667,5,False
000020.jpg,0.9630596041679382,train,0,0.2,0.1,0.15,0.960706889629364,0.9591870307922363,1,20,0.88525390625,0.88525390625,1,0.83294921875,10.0,train,0.0,0.8082491755485535,0.0,0.1,0.1,,0.7422658801078796,0.7017654180526733,12.0,0.0415512465373961,0.4658425955561059,0.6781527,0.33819345,0,-1,-1,0,0,0,-1,0,0,0.0,6,0.0,6.0,,,0.8444814453125,6,False
000106.jpg,0.9461787343025208,train,0,0.0,0.1,0.1,0.938029408454895,0.9344393610954285,1,106,0.84814453125,0.84814453125,1,0.8403710937500001,9.0,train,0.0,0.6137266755104065,0.0,0.1,0.1,,0.5856292843818665,0.563780665397644,12.0,0.0415512465373961,0.290986260631408,0.53193116,-0.039544627,0,-1,-1,0,0,1,-1,0,0,1.0,6,0.1666666666666666,5.0,,,0.8378343098958335,7,False
000082.jpg,0.9699825048446655,train,0,0.4,0.4,0.45,0.9675248861312866,0.9662789106369019,1,82,0.94580078125,0.94580078125,1,0.8608398437500001,7.0,train,0.0,0.6863609552383423,0.0,0.0,0.0,0.0,0.6642309427261353,0.6431021094322205,2.0,0.039568345323741,0.3593975207359671,0.6526219,-0.029832803,0,-1,-1,1,1,1,-1,1,0,4.0,6,0.6666666666666666,2.0,,,0.7954671223958334,8,False
000138.jpg,0.9714102745056152,train,0,0.4,0.3,0.2,0.9674844741821289,0.9655126333236694,1,138,0.83154296875,0.83154296875,1,0.84369140625,8.0,train,0.0,0.6463881134986877,0.0,0.1,0.1,,0.5838704109191895,0.5533657670021057,2.0,0.039568345323741,0.3543576499969839,0.5839964,0.10098374,0,-1,-1,1,1,1,-1,1,0,4.0,6,0.6666666666666666,2.0,,,0.7923167317708334,9,False
000035.jpg,0.957815408706665,train,1,0.6,0.5,0.55,0.952979564666748,0.950588583946228,1,35,0.94287109375,0.94287109375,1,0.8614257812500001,6.0,train,0.0,0.7266910076141357,0.0,0.0,0.0,,0.6945286989212036,0.6460477113723755,2.0,0.039568345323741,0.3368095061333059,0.5571178,0.08992407,0,-1,-1,1,1,1,-1,1,1,5.0,6,0.8333333333333334,1.0,,,0.7795914713541667,10,True
