sample_id,source,image_id,label,path,mask_status,is_not_stone,has_image
train/000001.jpg,train,000001.jpg,1.0,,nomask,False,False
train/000002.jpg,train,000002.jpg,1.0,preprocess/bbox_crop/train/000002_mask_000.png,mask,False,True
train/000003.jpg,train,000003.jpg,0.0,preprocess/bbox_crop/train/000003_mask_000.png,mask,False,True
train/000004.jpg,train,000004.jpg,1.0,preprocess/bbox_crop/train/000004_mask_000.png,mask,False,True
train/000005.jpg,train,000005.jpg,1.0,preprocess/bbox_crop/train/000005_mask_000.png,mask,False,True
train/000006.jpg,train,000006.jpg,0.0,preprocess/bbox_crop/train/000006_mask_000.png,mask,False,True
train/000007.jpg,train,000007.jpg,1.0,preprocess/bbox_crop/train/000007_mask_000.png,mask,False,True
train/000008.jpg,train,000008.jpg,1.0,preprocess/bbox_crop/train/000008_mask_000.png,mask,False,True
train/000009.jpg,train,000009.jpg,1.0,preprocess/bbox_crop/train/000009_mask_000.png,mask,False,True
train/000010.jpg,train,000010.jpg,1.0,preprocess/bbox_crop/train/000010_mask_000.png,mask,False,True
train/000011.jpg,train,000011.jpg,0.0,preprocess/bbox_crop/train/000011_mask_000.png,mask,False,True
train/000012.jpg,train,000012.jpg,0.0,preprocess/bbox_crop/train/000012_mask_000.png,mask,False,True
train/000013.jpg,train,000013.jpg,0.0,preprocess/bbox_crop/train/000013_mask_000.png,mask,False,True
train/000014.jpg,train,000014.jpg,1.0,preprocess/bbox_crop/train/000014_mask_000.png,mask,False,True
train/000015.jpg,train,000015.jpg,0.0,preprocess/bbox_crop/train/000015_mask_000.png,mask,False,True
train/000016.jpg,train,000016.jpg,1.0,preprocess/bbox_crop/train/000016_mask_000.png,mask,False,True
train/000017.jpg,train,000017.jpg,1.0,preprocess/bbox_crop/train/000017_mask_000.png,mask,False,True
train/000018.jpg,train,000018.jpg,1.0,preprocess/bbox_crop/train/000018_mask_000.png,mask,False,True
train/000019.jpg,train,000019.jpg,1.0,preprocess/bbox_crop/train/000019_mask_000.png,mask,False,True
train/000020.jpg,train,000020.jpg,0.0,preprocess/bbox_crop/train/000020_mask_000.png,mask,False,True
train/000021.jpg,train,000021.jpg,0.0,,nomask,False,False
train/000022.jpg,train,000022.jpg,1.0,preprocess/bbox_crop/train/000022_mask_000.png,mask,False,True
train/000023.jpg,train,000023.jpg,1.0,preprocess/bbox_crop/train/000023_mask_000.png,mask,False,True
train/000024.jpg,train,000024.jpg,0.0,preprocess/bbox_crop/train/000024_mask_000.png,mask,False,True
train/000025.jpg,train,000025.jpg,1.0,preprocess/bbox_crop/train/000025_mask_000.png,mask,False,True
train/000026.jpg,train,000026.jpg,1.0,preprocess/bbox_crop/train/000026_mask_000.png,mask,False,True
train/000027.jpg,train,000027.jpg,1.0,,nomask,False,False
train/000028.jpg,train,000028.jpg,1.0,,nomask,False,False
train/000029.jpg,train,000029.jpg,1.0,preprocess/bbox_crop/train/000029_mask_000.png,mask,False,True
train/000030.jpg,train,000030.jpg,0.0,preprocess/bbox_crop/train/000030_mask_000.png,mask,False,True
train/000031.jpg,train,000031.jpg,1.0,preprocess/bbox_crop/train/000031_mask_000.png,mask,False,True
train/000032.jpg,train,000032.jpg,1.0,preprocess/bbox_crop/train/000032_mask_000.png,mask,False,True
train/000033.jpg,train,000033.jpg,0.0,preprocess/bbox_crop/train/000033_mask_000.png,mask,False,True
train/000034.jpg,train,000034.jpg,0.0,preprocess/bbox_crop/train/000034_mask_000.png,mask,False,True
train/000035.jpg,train,000035.jpg,0.0,preprocess/bbox_crop/train/000035_mask_000.png,mask,False,True
train/000036.jpg,train,000036.jpg,0.0,preprocess/bbox_crop/train/000036_mask_000.png,mask,False,True
train/000037.jpg,train,000037.jpg,1.0,preprocess/bbox_crop/train/000037_mask_000.png,mask,False,True
train/000038.jpg,train,000038.jpg,1.0,preprocess/bbox_crop/train/000038_mask_000.png,mask,False,True
train/000039.jpg,train,000039.jpg,1.0,preprocess/bbox_crop/train/000039_mask_000.png,mask,False,True
train/000040.jpg,train,000040.jpg,1.0,preprocess/bbox_crop/train/000040_mask_000.png,mask,False,True
train/000041.jpg,train,000041.jpg,0.0,preprocess/bbox_crop/train/000041_mask_000.png,mask,False,True
train/000042.jpg,train,000042.jpg,0.0,preprocess/bbox_crop/train/000042_mask_000.png,mask,False,True
train/000043.jpg,train,000043.jpg,0.0,preprocess/bbox_crop/train/000043_mask_000.png,mask,False,True
train/000044.jpg,train,000044.jpg,1.0,preprocess/bbox_crop/train/000044_mask_000.png,mask,False,True
train/000045.jpg,train,000045.jpg,1.0,preprocess/bbox_crop/train/000045_mask_000.png,mask,False,True
train/000046.jpg,train,000046.jpg,1.0,preprocess/bbox_crop/train/000046_mask_000.png,mask,False,True
