id,soup_prob,ens42_123_prob,mytest_v1_prob,mytest_aug_v1_label,mytest_aug_v2_label,mytest_pretrain_label,splitval_aug_label,trsearch_bbox02_label,prob_mean,prob_max,label_votes_pos,label_votes_total
000018.jpg,0.591796875,0.52099609375,0.7626953125,1,1,1,1,1,0.6251627604166666,0.7626953125,5,5
000023.jpg,0.77587890625,0.8564453125,0.80908203125,0,0,1,0,0,0.8138020833333334,0.8564453125,1,5
000044.jpg,0.5712890625,0.5390625,0.56982421875,0,0,0,0,0,0.56005859375,0.5712890625,0,5
000048.jpg,0.8828125,0.88671875,0.90625,1,1,1,1,1,0.8919270833333334,0.90625,5,5
000067.jpg,0.861328125,0.888671875,0.69775390625,1,1,0,0,1,0.81591796875,0.888671875,3,5
000072.jpg,0.56201171875,0.5703125,0.494873046875,0,0,1,1,1,0.5423990885416666,0.5703125,3,5
000100.jpg,0.461669921875,0.54052734375,0.2132568359375,0,0,0,0,1,0.4051513671875,0.54052734375,1,5
000133.jpg,0.91796875,0.8447265625,0.4912109375,0,0,1,0,1,0.7513020833333334,0.91796875,2,5
000145.jpg,0.096435546875,0.08892822265625,0.017791748046875,0,0,0,0,0,0.067718505859375,0.096435546875,0,5
000154.jpg,0.8046875,0.78271484375,0.218994140625,1,1,1,1,1,0.6021321614583334,0.8046875,5,5
000159.jpg,0.7705078125,0.7646484375,0.48974609375,0,0,0,0,1,0.6749674479166666,0.7705078125,1,5
000162.jpg,0.8232421875,0.5791015625,0.60205078125,1,1,1,1,0,0.6681315104166666,0.8232421875,4,5
000185.jpg,0.98681640625,0.9736328125,0.97802734375,1,1,1,1,1,0.9794921875,0.98681640625,5,5
000187.jpg,0.10107421875,0.138671875,0.05816650390625,0,0,0,0,0,0.09930419921875,0.138671875,0,5
