id,number,cluster,pca_x,pca_y,path
000023.jpg,23,0,-3.6428760774507123,-24.911904586495115,data/test_images/test_images/000023.jpg
000067.jpg,67,0,-27.492323492974855,-19.048460669950675,data/test_images/test_images/000067.jpg
000018.jpg,18,1,6.762612654722884,-2.1296376926656198,data/test_images/test_images/000018.jpg
000044.jpg,44,1,13.409691580306927,7.5054422007875345,data/test_images/test_images/000044.jpg
000048.jpg,48,1,2.745832526405918,-1.8419628394888439,data/test_images/test_images/000048.jpg
000072.jpg,72,1,14.58148074041218,5.312029445955869,data/test_images/test_images/000072.jpg
000100.jpg,100,1,12.052113969990657,5.515560282043337,data/test_images/test_images/000100.jpg
000145.jpg,145,1,9.126808572550082,-2.603348142283991,data/test_images/test_images/000145.jpg
000159.jpg,159,1,3.7004302921978574,-5.6788517138709915,data/test_images/test_images/000159.jpg
000162.jpg,162,1,14.498446050661169,5.575606083621825,data/test_images/test_images/000162.jpg
000185.jpg,185,1,3.966163460852731,-2.0598975444390577,data/test_images/test_images/000185.jpg
000187.jpg,187,1,11.8391031498045,4.04150565701503,data/test_images/test_images/000187.jpg
000133.jpg,133,2,-52.21969243689152,14.744992535674456,data/test_images/test_images/000133.jpg
000154.jpg,154,3,-9.327790990587905,15.57892698409622,data/test_images/test_images/000154.jpg
